,reviews,Prediksi
0,"mantapp,,,ditingkatkan lagi kualitas untuk pembayaran cod jangan gede gede biaya cod nya ...sama voucher untuk klaim jangan ada waktu nya...harus nya di undi aja",netral
1,entah kenapa lazada dihp saya kalo dibuka aplikasinya selalu ngelag. tiba2 jadi banyak notifikasi juga.,negatif
2,"aplikasi penipuan duit pembeli gak dikembalikan dibikin ribet kapok pake aplikasi ini, chat cs juga yang bales bot semua gak ada tindakan penyelesaian mending pindah si ijo apa Oren sekarang",negatif
3,ini lazada makin kesini makin mahallllll ongkirnya jadi males belanja di lazada tolong geratisin lagi ongkirnya biar banyak lagi peminat lazada !!!,netral
4,"ongkir terlalu mahal ke panai hulu,tidak seperti shoopee, shoopeeee banyak voucher oongkir nya murah lazada pengiriman lama, ongkir mahal ke panai hulu, labuhan batu, sumut tolong di kurangi ongkirny",netral
5,"belanja tanpa ribet, barang datang sendiri",positif
6,"Tolong, nomor Kurir nya disesuaikan sama Watsap ya,biar mudah hubungi nya. dan tolong ekspedisi nya, kalo bisa dipercepat, masa udah di Tanggerang ke Jambi,sampai nya lama banget",netral
7,semakin banyak ulasan boot yg ga nyambung sama barang yg mau d beli ga kaya shoope 100% ORI pembeli,positif
8,"maaf ya saya kasih bintang 1, sebelumnya saya belanja disini amanÂ² aja sampai suatu kejadian menimpa saya. saya tidak memesan suatu barang, tiba-tiba barang tersebut datang ke rumah saya.. paket nya cod dan harganya 50.000. saya suruh harus bayar, padahal saya engga pesan. kejadiannya baru siang ini, jam setengah 3 sore, dan saat saya liat paket tersebut ternyata dari apk lazada ini. tolong untuk pihak lazada untuk segera di blacklist buat penjualÂ² dan kurir nakal seperti ituðŸ™",negatif
9,gapapa pengiriman lama tp tolong gratis ongkirnya jgn mahal2 masak pembelian min 50ribu,netral
10,"makin lama makin g ngotak...ongkir mahal,promoÂ² voucher jg banyak yg pilihÂ² produk tertentu.proses penjemputan dan pengiriman lamaaaaa.",positif
11,pihak lazada kurang bertanggung jawab saldo yang refund saya tarik ke rekening sudah 1 minggu belom di proses tolong tanggu jawabnya lazada,negatif
12,bagus murah tetap pertahankan dengan kwalits yg lebih bagus,positif
13,tolong di buka kembali LAZBON yg di BEKUKAN. padahal cicilan tepat waktu sebelum jatuh tempo selalu bayar giliran udah lunas ga bisa ngambil lagi. Karena di BEKUKAN.,negatif
14,"entah siapa yang salah disini sudah seminggu saya transfer dari lazada saldo ke rekening pribadi belum juga masuk, hanya transfer loh bukan mengajukan pinjaman. Di apk olshop sebelah ga sampe 10 detik sudah masuk.. knpa lazada seperti ini hihi aneh",negatif
15,"saya mengalami penipuan di salah satu toko platform lazada, saya sudah mencoba melaporkan toko tapi tidak ada tanggapan dari lazada. sangat mengecewakan. ini salah satu alasan lazada mulai ditinggalkan.",positif
16,sangat membantu dengan mudah dan barang nya datang sesuai yg saya beli,positif
17,"suka sekali belanja online seperti sekarang, bisa hemat tenaga",positif
18,"puas belanja di lazada, karena klu barang yg di kirim tidak sesuai dengan deskripsi atau video atau gambar makan bisa di return atau di kembalikan dan uang bisa kembali lagi.",positif
19,lazada sekarang udah ga asik dan ongkirnya ga nanggung-nanggung dibikin bergidik sama ongkirnyaðŸ˜¨,netral
20,berbelanja jadi lebih simpel banyak potongan harga,positif
21,"lazada nih sebenernya bagus banget ga berat di hp, tampilan layar beranda sederhana dan ga bikin pusing kya di sebelah, tapi sayangnya tokoÂ², kurir, dan ekspedisi di lazada ga amanah. masa kurir nya males nganter ke rumah, di ket pengiriman udh di terima dan ada bukti gambar kakekÂ² entah siapa, pdhl sya blum nerima apa apa, coba deh ganti ekspedisi ke jnt atau yg lain pasti pada amanah",netral
22,Kami mohon kepada fihak Lazada untuk lebih ketat mengawasi toko toko yang nekad melakukan penipuan...terutama yang menjual pakaian baik celana /baju maupun elelektronik seperti hp...beberapa kali saya menjadi korbannya...barang tidak sesuai pesanan,netral
23,mengapa jadi berat bgt aplikasi nya...jd susah buka menu...,netral
24,"apk jelek, kikir, ongkirpun adayg ngasih sampe 1 juta, ga ngotak mending pake shoppe",negatif
25,"alangkah baiknya ada fitur komentar di detail jasa pengiriman, biar kurir gak buat status palsu.",netral
26,"bintang 1 ajah skrng ongkir nyah mahal parah bgt lazada,sayah unintal ajah.hargga murah ongkos 19rb sama ajah gak ada diskon,masa kalah shopi bos,beda nyah ampe 30rb.lazada parah.",netral
27,kenapa penarikan saldo saya ke rekening sampai sekarang belum keterima juga ya padahal dari tanggal 27 maret.,negatif
28,"iklan nya kenceng bet ni apk belanja, mana pernah ketipu lagi disini",negatif
29,"biasa suka bolak balik belanja di lazada karena gratis ongkir,sekarang gratis ongkirnya minimum belanja gede banget,terpaksa pake apk sebelah (tt) dulu karena di sana juga lengkap yang penting gratis ongkir.",netral
30,"lazada sekarang pelit banget gratis ongkirnya, udah gratis ongkirnya dikit minimal belanja harus 45K disaat flatform sebelah gratis ongkir minimal belanja 0 rupiah... harga juga banyak yang gak ngotak mahalnya meski bisa tuker koin tapi harga dibikin 2-5 kali lipat harga biasa, ngumpulin koinpun jadi males karena capek doang ngumpulinnya tuker koin gak seberapa. ditambah lagi kalo mau hubungi CS susah banget mau komplain pun susah.",netral
31,Kalau Bisa Lazada Seperti Aplikasi Sebelah Bukak Baru Bayar.. Tujuanya Untuk Memberantas Penjual Yang Penipu. Pelanggan Lazada Bisa Bubar Sepi Pembeli,netral
32,"belanja online semakin mudah, sukses terus Lazada sukses reseller serta kurir terpercaya",positif
33,logo apknya GK bagus lagi kok pinkkk pink kan cewek njirrrr ganti lah logonya sama warna biru kyk dulu,positif
34,bagus sih cepat jg tp kemarin sempat kecewa karena datang nya telat banget,positif
35,"penarikan tunai sangat sangat mengecewakan sudah 2 minggu tapi belum juga di proses masih dalam status tertunda padahal SUDAH 2 MINGGU , saya juga sudah menghubungi CS tetapi jawabannya sangat tidak nyambung",negatif
36,"kebanyakan ga sesuai dengan iklan, jauh dengan sopie",negatif
37,proses cepat pokonya mantap,positif
38,promo gratis ongkir dan voucher ga seperti dulu males belanja di lazada..!!!,netral
39,"aku suka sama lazada sering belanja juga ,, tapi makin sini makin kurang bnget apalagi ongkir yang slalu naik terus dan kurang lengkap juga barang nya banyak toko yng kurang amanah juga,, kalo untuk pengiriman lazada cepet banget suka mudah""an lazada kedepan nya bisa lebih baik lagi",positif
40,"VOUCHER GRATIS ONGKIR NYA NGGAK KAYA DULU SEKARANG LEBIH MURAH GRATIS ONGKIR DI SHOPEE, SEKARANG LAZADA SANGAT JELEK. TOLONG KEMBALIKAN LAZADA SEPERTI DULU!.",netral
41,penarikan saldo lazada ke rekening sangat lama sedangkan duit sedang di butuhkan,negatif
42,"Bohong.. pengiriman dijamin 3 hari sampai nyatanya sampai seminggu lebih paket gak mau terkirim hanya di kemas. Apk lazada promonya tdk mau di respon sama toko penjualnya pilih pilih klw belinya pakai voucher promo dari apk ini pasti penjual gak mau mengirimi barangnya. ( kenapa penjual tdk mau dagangannya terkirim kalau belinya memakai pembelian pertama kali,, hanya di kemas dan janji janji tgl pengiriman saja,, nyatanya Hoax. Mohon di tanggapi ini kasus penting bagi kami para konsumen ) Mks",negatif
43,sekarang seler2 lazada pada lemot barang diproses nyampe 3-4 hari dulu mah cepet dan pengiriman juga cepet kecewa sama lazada,positif
44,walaupun akhir2 ini agak telat sampenya tp sy suka selain murah jg banyak diskonnya....,positif
45,"yaampun lazada kenapa ya makin kesini makin gak jelas,aku udah tarik saldo lazada dari tanggal 28 Maret kenapa sampai sekarang tanggal 14 april belum juga cair,gimana lah nasib uang akuðŸ˜­",negatif
