,reviews,Prediksi
0,san aja untuk pihat toko pedia cobalah jangan pake kurir rekomdasi SAPX lanya pengiriman ampir 2 minggu paket belum sampai mau komplen kesiapa kontak gudang cabangnya juga tak ada,negatif
1,Pelayanan untuk barang komplain terlalu ribet. Tidak bisa memberi solusi yang cepat. Merugikan banyak customer akibat seller nakal. Kurang selektif dalam memilih seller.,positif
2,aplikasi ini setidaknya membantu tapi sayangnya setiap pengiriman ato kurirnya gk ada no tlp/wa gk seperti aplikasi yg lainnya setiap kurirnya selalu ada no tlp/wa jadi kita tidak susah tanya barang kita di taruh dimana ato di kasih siap..,netral
3,Beli produk tembakau di persulit harus di web. Kn di profil ada keterangan umur berapa yg punya akun. Bahkan sampai beli kertas linting aja susah banget,netral
4,"Ini aplikasi makin lama makin aneh, eror mulu, koneksi time out,,, lah sinyal gua 4g, ram 8 gb, buka yg lain gampang gampang aja, kalo gini terus mending gua make shoopee, ini makin kesini makin sampah, Saya pembeli, dan uang saya di tahan Tokopedia, transaksi saya 5 juta lebih uang saya di tahan, saya salah pilih toko, Tokopedia ternyata gak nyaring toko toko yg mau nipu, itu uang saya loh, ngapain dia nahan uang 5 juta lebih uang saya itu, sudah komplain ke TokopediaCare tapi ga ada tanggapan,",negatif
5,paylaternya tau tau hilang di non aktifkan. kecewa,netral
6,aps aneh jelek gak guna. setiap bikin pesanan selalu aja ada masalah seringnya di batalkan tanpa kejelasan. di batalin sistem lah seller lah semau mau lo ajalah udah ya pada slow respon gak jelas pula. gak guna tutup ajalah. unistal. gak perlu kasih bintang. mending aps sebelah,negatif
7,mantap banyak diskonnya tokped TOP dahh lebih banyakin free ongkir sama diskonnya yah Tokopedia ðŸ¥°,positif
8,"bertahun"" belanja di tokped , skrg banyak seller ga tanggung jawab dan manipulatif dan respon cs skrg ga ada solusi makin buruk .. payah..",negatif
9,verifikasi pembayaran sangat ce pat,netral
10,jelek masalah refund selalu lama berbelit2 padahal udh jelas barang tidak sampai ketangan pembeli+ keterangan hilang dijalan. udh pake asuransi yg diganti cm harga produk harusnya ongkir ganti 3x lipat+harga produk. pindah haluan ke toko sebelah aja mendinganðŸ‘ŽðŸ‘Ž,netral
