,reviews,Prediksi
0,aplikasi online yg banyak voucher dan gratis ongkir plus banyak koin gratis.,netral
1,"tolong balikin kayak dulu aja pihak shopee, daftar affiliate wajib punya npwp kalo sekarang, mending kayak dulu bisa tanpa NPWP walaupun pajak mahal tapi lebih suka yang dulu, karena ya gak semua orang punya npwp, gak semua pengguna itu orang mampu, ada juga orang yang kurang mampu ingin mencari tambahan affiliate tapi dengan syarat yang sangat teramat rumit jadi kehalang, tolong pengertiannya, atau NPWP itu di ganti sama yang lain, gitu aja, makasih.",negatif
2,bisa belanja semua kebutuhan.... lengkap dan murah pokoknya puas,positif
3,barang bagus terpercaya harga terjangkau pengiriman cepat,positif
4,"Sangat suka dgn Shopee,sangat membantu dlm mencari/membeli barang2 yg susah di toko luaran. Dgn Shopee tinggal ketik langsung nongol barang yg diinginkan. kurang sukanya banyak iklan,matur nuwun.. terimakasih ðŸ™",positif
5,Sangat tidak bisa berpihak secara adil. Pengembalian barang oleh customer tidak lengkap. Tapi pertanggungjawaban cust ngga ada. Tim mediasi juga menyelesaikan dgn cara kuno. Seller lg2 harus effort mengembalikan paket ke pembeli tanpa resi dengan batas waktu yg minim hanya 1x24 jam DAN DI HARI LIBUR dalam kondisi seller tidak di rumah dan ADA HAL URGENT LAIN. Tidak semua ekspedisi dekat dan buka di hari sabtu ataupun minggu. Otaknya dipakai lain kali kalau mau memberikan penyelesaian masalah,negatif
6,"selama ini bagus sih saya tetap belanja di shopee tapi yang bikin gak nyaman dijasa pengirimannya gak seperti dulu, dah lah lama masih bohong pulak dibilang saya menolak paket padahal kurirnya gak ada nelfon saya tauÂ² barang kembali ke ekspedisi dibilang barang ditolak.",negatif
7,aplikasi ini kadang banyak manfaat nya..dan juga terkadang ada mudhorotnya (bahaya),positif
8,shopee tempat belanja yg pling bagus aku suka sesuai dengan espetasiku,positif
9,"terima kasih shopee, semoga seller yang ada di dalam nya menjual produk yang Asli dan sesuai dengan deskripsi, serta amanah dan tidak menipu para pelanggan, buat para pelanggan hati hati memilih seller karena ada beberapa seller yang tidak amanah",positif
